Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,2000.0,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,2,2.09,2,0,0,0,0,0,0,0.0,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,3,86,29,2.5,1,61.0,0,2,13.0,11,0.67,2,0,2,2.09,1.82,2.3,0.3,2.0,2.12,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,0.0
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,2000.0,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.0,0.02,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,47,66,71.2,705,190,0,0.0,0.0,0.0,1,2,0,0,6,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1,1,0.75,1,0,0,0,0,0,0,0.0,4,4,2,2,0,5,80.0,1,1,0,1,0,4,3,0,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,0,3,0,3,1,49,10,4,120,30,3.5,1,73.0,0,3,16.0,14,0.75,1,3,-2,-1.5,-1.28,1.5,3.7,-2.3,-1.69,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003.0,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.1,0,1,0,0.0,1.38,0.0,0.0,0.0,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,0,0.0,0,0,0,0,0,0,0,0.0,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,1,65,65,1.9,1,65.0,0,0,0.0,8,0.0,1,2,-1,-1.38,-1.14,1.4,0.7,0.7,0.93,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,2004.0,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.06,0,1,0,0.0,1.02,0.0,0.0,0.0,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,1,1.02,1,0,0,0,0,0,0,0.0,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,65,8,37,22,7,2,65,0,0,0.0,0,0.0,29,219,165,3,1,1,1,3,34,1,6,88,15,2.6,0,0.0,0,6,15.0,12,1.67,2,0,2,2.05,2.5,0.6,1.5,-0.9,-0.91,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,2,100.0,41,0,0,0.0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,4,0,3,1,0,0,4,0,0,0.0,0,0.0,1,10,9,1,0,0,1,0,3,0,1,3,3,0.1,0,0.0,0,1,3.0,7,3.0,0,0,0,0.0,-0.79,0.0,0.0,0.0,-0.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1987.0,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.0,0.03,0,2,1,50.0,0.17,0.09,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,438,505,86.7,7952,2404,0,0.1,0.3,-0.1,2,28,0,0,22,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1,6,0.55,5,1,0,0,0,0,0,0.0,17,11,15,2,0,16,62.5,6,26,18,8,14,31,57,1,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3,16,1033,65,33.8,11,85.0,9,5,19.0,17,0.94,5,31,-26,-2.27,-1.73,8.0,26.4,-18.4,-1.67,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,1999.0,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.13,0.3,6,35,8,22.9,1.11,0.25,0.09,0.38,22.6,0,3,4,6.4,3.2,0.09,-0.4,-0.2,1373,1672,82.1,21646,6031,1,3.2,3.7,-2.2,39,171,38,3,207,1672,1555,107,41,23,13,44,15,10,5,2,0,1373,10,31,94,2.98,80,2,5,1,3,3,5,0.16,48,32,13,20,15,48,31.3,33,24,1,23,26,74,28,2,1993,38,293,1149,597,49,1989,121,57,47.1,61,50.4,1183,7595,4388,107,90,17,55,51,1446,111,32,2842,89,92.9,32,89.0,25,0,0.0,0,1.03,28,50,-22,-0.7,-1.11,30.8,54.2,-23.4,-0.74,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,1999.0,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,471,521,90.4,8299,2620,0,0.0,0.2,0.0,0,41,1,0,52,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2,8,0.84,8,0,0,0,0,0,0,0.0,21,14,12,6,3,22,59.1,9,11,5,6,15,36,56,1,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,12,855,71,27.9,10,83.0,8,2,12.0,12,1.92,15,14,1,0.11,-0.87,16.5,11.5,5.0,0.53,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.45,0.4,5,29,11,37.9,1.87,0.71,0.17,0.45,16.9,1,0,0,4.3,4.3,0.17,0.7,0.7,502,678,74.0,7914,2701,2,1.9,1.7,0.1,20,19,21,7,42,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22,45,2.91,33,3,4,4,0,1,3,0.19,43,25,18,14,11,43,65.1,15,20,6,14,20,63,37,0,886,51,230,349,315,50,886,29,12,41.4,16,55.2,391,1880,1003,35,15,9,32,14,481,101,25,1393,56,45.5,17,77.0,6,8,10.0,1,1.8,26,16,10,0.65,-0.16,26.2,18.0,8.3,0.54,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999.0,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.44,0.09,0,1,0,0.0,0.44,0.0,0.0,0.0,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,118,136,86.8,1766,368,1,0.2,0.2,0.8,2,4,4,2,9,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,6,2.65,5,0,0,0,1,0,1,0.44,3,2,2,0,1,1,100.0,0,2,0,2,2,5,0,0,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,4,205,51,6.0,2,62.0,0,2,41.0,27,1.5,4,1,3,1.32,0.81,3.6,1.5,2.1,0.92,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0
